metaData__createdTimestamp,metaData__safeAlertSpecVersion,geometry__geometryAsWKTString,geometry__radius,safeAlertList__safeAlertItem__sourceId,safeAlertList__safeAlertItem__safeAlertType,safeAlertList__safeAlertItem__severity,safeAlertList__safeAlertItem__geometry__|,safeAlertList__safeAlertItem__geometry__|__latitude,safeAlertList__safeAlertItem__geometry__|__longitude
2017-10-20T20:37:38.460-05:00,v0.2,"LINESTRING(-87.63720989227295 41.88749291909707,-87.63720989227295 41.88749291909707)",0.01,3380,Pedestrian,Low,begin,41.88465421,-87.6277509
,,,,,,,geometryPointList,41.88413015,-87.6277509
,,,,,,,,41.88413015,-87.62799814
,,,,,,,,41.88442622,-87.62799814
,,,,,,,,41.88442622,-87.62804698
,,,,,,,,41.88465421,-87.62804698
,,,,,,,endGeometryPoint,41.88465421,-87.6277509
,,,,4495,Lane Change,Low,begin,41.88233206,-87.63688051
,,,,,,,geometryPointList,41.88205759,-87.63688051
,,,,,,,,41.88205759,-87.63658443
,,,,,,,,41.88176151,-87.63658443
,,,,,,,,41.88176151,-87.6367913
,,,,,,,,41.88203598,-87.6367913
,,,,,,,,41.88203598,-87.63708737
,,,,,,,,41.88233206,-87.63708737
,,,,,,,endGeometryPoint,41.88233206,-87.63688051
,,,,4159,Parked,Low,begin,41.88945957,-87.63095893
,,,,,,,geometryPointList,41.88945957,-87.631255
,,,,,,,,41.88975565,-87.631255
,,,,,,,,41.88998835,-87.631255
,,,,,,,,41.88998835,-87.63095893
,,,,,,,,41.88975565,-87.63095893
,,,,,,,endGeometryPoint,41.88945957,-87.63095893
,,,,1836,Turning,Low,begin,41.88303853,-87.64271288
,,,,,,,geometryPointList,41.88303853,-87.64300895
,,,,,,,,41.88324191,-87.64300895
,,,,,,,,41.88324191,-87.64280209
,,,,,,,,41.88333461,-87.64280209
,,,,,,,,41.88333461,-87.64271288
,,,,,,,endGeometryPoint,41.88303853,-87.64271288
,,,,2751,Rear End,Low,begin,41.88205734,-87.62922502
,,,,,,,geometryPointList,41.88146543,-87.62922502
,,,,,,,,41.88146543,-87.62947853
,,,,,,,,41.88176151,-87.62947853
,,,,,,,,41.88176151,-87.6295211
,,,,,,,,41.88205734,-87.6295211
,,,,,,,endGeometryPoint,41.88205734,-87.62922502
,,,,2738,Rear End,Low,begin,41.88028087,-87.6321858
,,,,,,,geometryPointList,41.88028087,-87.63243932
,,,,,,,,41.88028112,-87.63243932
,,,,,,,,41.8805772,-87.63243932
,,,,,,,,41.88087303,-87.63243932
,,,,,,,,41.88087303,-87.6321858
,,,,,,,endGeometryPoint,41.88028087,-87.6321858
,,,,2185,Side Swipe,Low,begin,41.89310522,-87.631075
,,,,,,,geometryPointList,41.89310522,-87.63137108
,,,,,,,,41.8934013,-87.63137108
,,,,,,,,41.89360467,-87.63137108
,,,,,,,,41.89360467,-87.63125501
,,,,,,,,41.89390075,-87.63125501
,,,,,,,,41.89399345,-87.63125501
,,,,,,,,41.89399345,-87.631075
,,,,,,,,41.89369737,-87.631075
,,,,,,,,41.8934013,-87.631075
,,,,,,,endGeometryPoint,41.89310522,-87.631075
,,,,1839,Turning,High,begin,41.88353799,-87.63975209
,,,,,,,geometryPointList,41.88333461,-87.63975209
,,,,,,,,41.88333461,-87.63954522
,,,,,,,,41.88324191,-87.63954522
,,,,,,,,41.88324191,-87.63945601
,,,,,,,,41.88303853,-87.63945601
,,,,,,,,41.88303853,-87.63975209
,,,,,,,,41.88274245,-87.63975209
,,,,,,,,41.88274245,-87.6398413
,,,,,,,,41.88294583,-87.6398413
,,,,,,,,41.88294583,-87.64004816
,,,,,,,,41.88303853,-87.64004816
,,,,,,,,41.88303853,-87.64013738
,,,,,,,,41.88324191,-87.64013738
,,,,,,,,41.88324191,-87.6398413
,,,,,,,,41.88353799,-87.6398413
,,,,,,,endGeometryPoint,41.88353799,-87.63975209
,,,,4343,Hit Fixed Object,Low,begin,41.88324191,-87.63480795
,,,,,,,geometryPointList,41.88324191,-87.63421579
,,,,,,,,41.88303853,-87.63421579
,,,,,,,,41.88303853,-87.63433187
,,,,,,,,41.88294583,-87.63433187
,,,,,,,,41.88294583,-87.63462795
,,,,,,,,41.88303853,-87.63462795
,,,,,,,,41.88303853,-87.63492403
,,,,,,,,41.88324191,-87.63492403
,,,,,,,,41.88324191,-87.63480795
,,,,,,,,41.88324191,-87.63421579
,,,,,,,,41.88333461,-87.63421579
,,,,,,,,41.88333461,-87.63403579
,,,,,,,,41.88324191,-87.63403579
,,,,,,,endGeometryPoint,41.88324191,-87.63421579
,,,,4139,Parked,Low,begin,41.87820857,-87.63362364
,,,,,,,geometryPointList,41.87814519,-87.63362364
,,,,,,,,41.87814519,-87.63332756
,,,,,,,,41.87791249,-87.63332756
,,,,,,,,41.87791249,-87.63362364
,,,,,,,,41.87784911,-87.63362364
,,,,,,,,41.87761641,-87.63362364
,,,,,,,,41.87761641,-87.63391972
,,,,,,,,41.87784911,-87.63391972
,,,,,,,,41.87791249,-87.63391972
,,,,,,,,41.87791249,-87.63421579
,,,,,,,,41.87814519,-87.63421579
,,,,,,,,41.87814519,-87.63391972
,,,,,,,,41.87820857,-87.63391972
,,,,,,,,41.87844127,-87.63391972
,,,,,,,,41.87844127,-87.63362364
,,,,,,,endGeometryPoint,41.87820857,-87.63362364
,,,,3714,Intersection,Low,begin,41.8847223,-87.63243932
,,,,,,,geometryPointList,41.88413015,-87.63243932
,,,,,,,,41.88413015,-87.6327054
,,,,,,,,41.88422285,-87.6327054
,,,,,,,,41.88422285,-87.6327354
,,,,,,,,41.88451893,-87.6327354
,,,,,,,,41.88451893,-87.6327054
,,,,,,,,41.8847223,-87.6327054
,,,,,,,endGeometryPoint,41.8847223,-87.63243932
,,,,4496,Lane Change,Low,begin,41.88235367,-87.63086972
,,,,,,,geometryPointList,41.88233206,-87.63086972
,,,,,,,,41.88233206,-87.63057364
,,,,,,,,41.88203598,-87.63057364
,,,,,,,,41.88203598,-87.63086972
,,,,,,,,41.8817399,-87.63086972
,,,,,,,,41.8817399,-87.63095893
,,,,,,,,41.88176151,-87.63095893
,,,,,,,,41.88176151,-87.63116579
,,,,,,,,41.88205759,-87.63116579
,,,,,,,,41.88205759,-87.63095893
,,,,,,,,41.88235367,-87.63095893
,,,,,,,endGeometryPoint,41.88235367,-87.63086972
,,,,4514,Lane Change,Medium,begin,41.89358306,-87.63708737
,,,,,,,geometryPointList,41.89328698,-87.63708737
,,,,,,,,41.89328698,-87.6367913
,,,,,,,,41.89301252,-87.6367913
,,,,,,,,41.89301252,-87.63688051
,,,,,,,,41.8929909,-87.63688051
,,,,,,,,41.8929909,-87.63708737
,,,,,,,,41.89269482,-87.63708737
,,,,,,,,41.89269482,-87.63717659
,,,,,,,,41.89271644,-87.63717659
,,,,,,,,41.89301252,-87.63717659
,,,,,,,,41.89301252,-87.63747266
,,,,,,,,41.89328698,-87.63747266
,,,,,,,,41.89328698,-87.63738345
,,,,,,,,41.89330859,-87.63738345
,,,,,,,,41.89330859,-87.63717659
,,,,,,,,41.89358306,-87.63717659
,,,,,,,endGeometryPoint,41.89358306,-87.63708737
,,,,1816,Turning,Low,begin,41.87968896,-87.63688051
,,,,,,,geometryPointList,41.87939288,-87.63688051
,,,,,,,,41.87939288,-87.63658443
,,,,,,,,41.8791895,-87.63658443
,,,,,,,,41.8791895,-87.6367913
,,,,,,,,41.8790968,-87.6367913
,,,,,,,,41.8790968,-87.63688051
,,,,,,,,41.87889342,-87.63688051
,,,,,,,,41.87889342,-87.63708737
,,,,,,,,41.8791895,-87.63708737
,,,,,,,,41.8791895,-87.63738345
,,,,,,,,41.87939288,-87.63738345
,,,,,,,,41.87939288,-87.63717659
,,,,,,,,41.87948558,-87.63717659
,,,,,,,,41.87948558,-87.63708737
,,,,,,,,41.87968896,-87.63708737
,,,,,,,endGeometryPoint,41.87968896,-87.63688051
,,,,1827,Turning,Low,begin,41.88096598,-87.63066285
,,,,,,,geometryPointList,41.88087328,-87.63066285
,,,,,,,,41.88087328,-87.63057364
,,,,,,,,41.8805772,-87.63057364
,,,,,,,,41.8805772,-87.63066285
,,,,,,,,41.88037382,-87.63066285
,,,,,,,,41.88037382,-87.63086972
,,,,,,,,41.88096598,-87.63086972
,,,,,,,endGeometryPoint,41.88096598,-87.63066285
,,,,2190,Side Swipe,Low,begin,41.89656546,-87.63540011
,,,,,,,geometryPointList,41.89636209,-87.63540011
,,,,,,,,41.89636209,-87.63569619
,,,,,,,,41.89656546,-87.63569619
,,,,,,,,41.89656546,-87.63581227
,,,,,,,,41.89665816,-87.63581227
,,,,,,,,41.89665816,-87.63522011
,,,,,,,,41.89656546,-87.63522011
,,,,,,,endGeometryPoint,41.89656546,-87.63540011
,,,,2799,Rear End,Medium,begin,41.88738675,-87.64728581
,,,,,,,geometryPointList,41.88709068,-87.64728581
,,,,,,,,41.88709068,-87.64698973
,,,,,,,,41.88679486,-87.64698973
,,,,,,,,41.88679486,-87.64724327
,,,,,,,,41.8867946,-87.64724327
,,,,,,,,41.8867946,-87.64728581
,,,,,,,,41.88649878,-87.64728581
,,,,,,,,41.88649878,-87.64753935
,,,,,,,,41.88679486,-87.64753935
,,,,,,,,41.88679486,-87.64783543
,,,,,,,,41.88709068,-87.64783543
,,,,,,,,41.88709068,-87.64758189
,,,,,,,,41.88709094,-87.64758189
,,,,,,,,41.88709094,-87.64753935
,,,,,,,,41.88738675,-87.64753935
,,,,,,,endGeometryPoint,41.88738675,-87.64728581
,,,,2153,Side Swipe,Low,begin,41.87830127,-87.63510403
,,,,,,,geometryPointList,41.87820857,-87.63510403
,,,,,,,,41.87820857,-87.63492403
,,,,,,,,41.87800519,-87.63492403
,,,,,,,,41.87800519,-87.63551619
,,,,,,,,41.87820857,-87.63551619
,,,,,,,,41.87820857,-87.63540011
,,,,,,,,41.87830127,-87.63540011
,,,,,,,endGeometryPoint,41.87830127,-87.63510403
,,,,2154,Side Swipe,Low,begin,41.87850464,-87.63688051
,,,,,,,geometryPointList,41.87820857,-87.63688051
,,,,,,,,41.87820857,-87.63658443
,,,,,,,,41.87800519,-87.63658443
,,,,,,,,41.87800519,-87.63670051
,,,,,,,,41.87791249,-87.63670051
,,,,,,,,41.87791249,-87.63688051
,,,,,,,,41.87770911,-87.63688051
,,,,,,,,41.87770911,-87.63699658
,,,,,,,,41.87800519,-87.63699658
,,,,,,,,41.87800519,-87.63729266
,,,,,,,,41.87820857,-87.63729266
,,,,,,,,41.87820857,-87.63717659
,,,,,,,,41.87830127,-87.63717659
,,,,,,,,41.87830127,-87.63699658
,,,,,,,,41.87850464,-87.63699658
,,,,,,,endGeometryPoint,41.87850464,-87.63688051
,,,,2156,Side Swipe,Low,begin,41.87880072,-87.64250601
,,,,,,,geometryPointList,41.87880072,-87.64280209
,,,,,,,,41.87889342,-87.64280209
,,,,,,,,41.87889342,-87.64262209
,,,,,,,,41.8791895,-87.64262209
,,,,,,,,41.8791895,-87.64232601
,,,,,,,,41.8790968,-87.64232601
,,,,,,,,41.8790968,-87.64250601
,,,,,,,endGeometryPoint,41.87880072,-87.64250601
,,,,4494,Lane Change,Low,begin,41.88233206,-87.63235011
,,,,,,,geometryPointList,41.88203598,-87.63235011
,,,,,,,,41.88203598,-87.63205403
,,,,,,,,41.88176151,-87.63205403
,,,,,,,,41.88176151,-87.63214324
,,,,,,,,41.8817399,-87.63214324
,,,,,,,,41.8817399,-87.63235011
,,,,,,,,41.88146543,-87.63235011
,,,,,,,,41.88146543,-87.63243932
,,,,,,,,41.88176151,-87.63243932
,,,,,,,,41.88176151,-87.6327354
,,,,,,,,41.88203598,-87.6327354
,,,,,,,,41.88203598,-87.63264619
,,,,,,,,41.88205759,-87.63264619
,,,,,,,,41.88205759,-87.63243932
,,,,,,,,41.88233206,-87.63243932
,,,,,,,endGeometryPoint,41.88233206,-87.63235011
,,,,4499,Lane Change,Medium,begin,41.88351637,-87.63975209
,,,,,,,geometryPointList,41.88322029,-87.63975209
,,,,,,,,41.88322029,-87.63945601
,,,,,,,,41.88294583,-87.63945601
,,,,,,,,41.88294583,-87.63954522
,,,,,,,,41.88292421,-87.63954522
,,,,,,,,41.88292421,-87.63975209
,,,,,,,,41.88264975,-87.63975209
,,,,,,,,41.88264975,-87.6398413
,,,,,,,,41.88294583,-87.6398413
,,,,,,,,41.88294583,-87.64013738
,,,,,,,,41.88322029,-87.64013738
,,,,,,,,41.88322029,-87.64004816
,,,,,,,,41.88324191,-87.64004816
,,,,,,,,41.88324191,-87.6398413
,,,,,,,,41.88351637,-87.6398413
,,,,,,,endGeometryPoint,41.88351637,-87.63975209
,,,,4500,Lane Change,Low,begin,41.88351637,-87.62770206
,,,,,,,geometryPointList,41.88324191,-87.62770206
,,,,,,,,41.88324191,-87.62761285
,,,,,,,,41.88322029,-87.62761285
,,,,,,,,41.88322029,-87.62740598
,,,,,,,,41.88294583,-87.62740598
,,,,,,,,41.88292421,-87.62740598
,,,,,,,,41.88292421,-87.62761285
,,,,,,,,41.88264975,-87.62761285
,,,,,,,,41.88264975,-87.62770206
,,,,,,,,41.88235367,-87.62770206
,,,,,,,,41.88235367,-87.62761285
,,,,,,,,41.88233206,-87.62761285
,,,,,,,,41.88233206,-87.62790893
,,,,,,,,41.88262814,-87.62790893
,,,,,,,,41.88292421,-87.62790893
,,,,,,,,41.88292421,-87.628205
,,,,,,,,41.88322029,-87.628205
,,,,,,,,41.88322029,-87.62790893
,,,,,,,,41.88351637,-87.62790893
,,,,,,,endGeometryPoint,41.88351637,-87.62770206
,,,,4501,Lane Change,Low,begin,41.88322029,-87.6353109
,,,,,,,geometryPointList,41.88294583,-87.6353109
,,,,,,,,41.88294583,-87.63540011
,,,,,,,,41.88294583,-87.63560698
,,,,,,,,41.88322029,-87.63560698
,,,,,,,,41.88322029,-87.63569619
,,,,,,,,41.88324191,-87.63569619
,,,,,,,,41.88324191,-87.63540011
,,,,,,,,41.88324191,-87.63510403
,,,,,,,,41.88324191,-87.63501482
,,,,,,,,41.88322029,-87.63501482
,,,,,,,endGeometryPoint,41.88322029,-87.6353109
,,,,4502,Lane Change,Low,begin,41.88499677,-87.64102561
,,,,,,,geometryPointList,41.8847223,-87.64102561
,,,,,,,,41.8847223,-87.6409364
,,,,,,,,41.88470069,-87.6409364
,,,,,,,,41.88470069,-87.64072953
,,,,,,,,41.88442622,-87.64072953
,,,,,,,,41.88442622,-87.64102561
,,,,,,,,41.88413015,-87.64102561
,,,,,,,,41.88413015,-87.64123248
,,,,,,,,41.88440461,-87.64123248
,,,,,,,,41.88440461,-87.64132169
,,,,,,,,41.88442622,-87.64132169
,,,,,,,,41.88442622,-87.64152856
,,,,,,,,41.88470069,-87.64152856
,,,,,,,,41.88470069,-87.64123248
,,,,,,,,41.88499677,-87.64123248
,,,,,,,endGeometryPoint,41.88499677,-87.64102561
,,,,4503,Lane Change,Low,begin,41.88499677,-87.62938932
,,,,,,,geometryPointList,41.88470069,-87.62938932
,,,,,,,,41.88470069,-87.62909324
,,,,,,,,41.88442622,-87.62909324
,,,,,,,,41.88442622,-87.62918245
,,,,,,,,41.88440461,-87.62918245
,,,,,,,,41.88440461,-87.62938932
,,,,,,,,41.88413015,-87.62938932
,,,,,,,,41.88413015,-87.62947853
,,,,,,,,41.88442622,-87.62947853
,,,,,,,,41.88442622,-87.62977461
,,,,,,,,41.88470069,-87.62977461
,,,,,,,,41.88470069,-87.6296854
,,,,,,,,41.8847223,-87.6296854
,,,,,,,,41.8847223,-87.62947853
,,,,,,,,41.88499677,-87.62947853
,,,,,,,endGeometryPoint,41.88499677,-87.62938932
,,,,4507,Lane Change,Low,begin,41.88618108,-87.63095893
,,,,,,,geometryPointList,41.88590662,-87.63095893
,,,,,,,,41.88590662,-87.63086972
,,,,,,,,41.885885,-87.63086972
,,,,,,,,41.885885,-87.63066285
,,,,,,,,41.88561054,-87.63066285
,,,,,,,,41.88561054,-87.63095893
,,,,,,,,41.88531446,-87.63095893
,,,,,,,,41.88531446,-87.63116579
,,,,,,,,41.88558893,-87.63116579
,,,,,,,,41.88558893,-87.63125501
,,,,,,,,41.88561054,-87.63125501
,,,,,,,,41.88561054,-87.63146187
,,,,,,,,41.885885,-87.63146187
,,,,,,,,41.885885,-87.63116579
,,,,,,,,41.88618108,-87.63116579
,,,,,,,endGeometryPoint,41.88618108,-87.63095893
,,,,4515,Lane Change,Low,begin,41.89358306,-87.63560698
,,,,,,,geometryPointList,41.89328698,-87.63560698
,,,,,,,,41.89328698,-87.6353109
,,,,,,,,41.89301252,-87.6353109
,,,,,,,,41.89301252,-87.63540011
,,,,,,,,41.8929909,-87.63540011
,,,,,,,,41.8929909,-87.63560698
,,,,,,,,41.89269482,-87.63560698
,,,,,,,,41.89269482,-87.63569619
,,,,,,,,41.89271644,-87.63569619
,,,,,,,,41.89301252,-87.63569619
,,,,,,,,41.89301252,-87.63599227
,,,,,,,,41.89328698,-87.63599227
,,,,,,,,41.89328698,-87.63590306
,,,,,,,,41.89330859,-87.63590306
,,,,,,,,41.89330859,-87.63569619
,,,,,,,,41.89358306,-87.63569619
,,,,,,,endGeometryPoint,41.89358306,-87.63560698
,,,,4517,Lane Change,Low,begin,41.8944713,-87.63243932
,,,,,,,geometryPointList,41.89419683,-87.63243932
,,,,,,,,41.89419683,-87.63235011
,,,,,,,,41.89417522,-87.63235011
,,,,,,,,41.89417522,-87.63214324
,,,,,,,,41.89390075,-87.63214324
,,,,,,,,41.89390075,-87.63243932
,,,,,,,,41.89360467,-87.63243932
,,,,,,,,41.89358306,-87.63243932
,,,,,,,,41.89358306,-87.63264619
,,,,,,,,41.89387914,-87.63264619
,,,,,,,,41.89387914,-87.6327354
,,,,,,,,41.89390075,-87.6327354
,,,,,,,,41.89390075,-87.63294227
,,,,,,,,41.89417522,-87.63294227
,,,,,,,,41.89417522,-87.63264619
,,,,,,,,41.8944713,-87.63264619
,,,,,,,endGeometryPoint,41.8944713,-87.63243932
,,,,4333,Hit Fixed Object,Medium,begin,41.87850464,-87.63373972
,,,,,,,geometryPointList,41.87830127,-87.63373972
,,,,,,,,41.87830127,-87.63362364
,,,,,,,,41.87820857,-87.63362364
,,,,,,,,41.87820857,-87.63344364
,,,,,,,,41.87800519,-87.63344364
,,,,,,,,41.87800519,-87.63373972
,,,,,,,,41.87770911,-87.63373972
,,,,,,,,41.87770911,-87.63391972
,,,,,,,,41.87791249,-87.63391972
,,,,,,,,41.87791249,-87.63403579
,,,,,,,,41.87800519,-87.63403579
,,,,,,,,41.87800519,-87.63421579
,,,,,,,,41.87820857,-87.63421579
,,,,,,,,41.87820857,-87.63391972
,,,,,,,,41.87850464,-87.63391972
,,,,,,,endGeometryPoint,41.87850464,-87.63373972
,,,,4334,Hit Fixed Object,Low,begin,41.87968896,-87.63522011
,,,,,,,geometryPointList,41.87948558,-87.63522011
,,,,,,,,41.87948558,-87.63510403
,,,,,,,,41.87939288,-87.63510403
,,,,,,,,41.87939288,-87.63492403
,,,,,,,,41.8791895,-87.63492403
,,,,,,,,41.8791895,-87.63522011
,,,,,,,,41.87889342,-87.63522011
,,,,,,,,41.87889342,-87.63540011
,,,,,,,,41.8790968,-87.63540011
,,,,,,,,41.8790968,-87.63551619
,,,,,,,,41.8791895,-87.63551619
,,,,,,,,41.8791895,-87.63569619
,,,,,,,,41.87939288,-87.63569619
,,,,,,,,41.87939288,-87.63540011
,,,,,,,,41.87968896,-87.63540011
,,,,,,,endGeometryPoint,41.87968896,-87.63522011
,,,,4342,Hit Fixed Object,Low,begin,41.88333461,-87.62781814
,,,,,,,geometryPointList,41.88303853,-87.62781814
,,,,,,,,41.88303853,-87.62752206
,,,,,,,,41.88274245,-87.62752206
,,,,,,,,41.88274245,-87.62781814
,,,,,,,,41.88244637,-87.62781814
,,,,,,,,41.88244637,-87.62799814
,,,,,,,,41.88264975,-87.62799814
,,,,,,,,41.88264975,-87.62811421
,,,,,,,,41.88274245,-87.62811421
,,,,,,,,41.88274245,-87.62829421
,,,,,,,,41.88294583,-87.62829421
,,,,,,,,41.88303853,-87.62829421
,,,,,,,,41.88303853,-87.62811421
,,,,,,,,41.88324191,-87.62811421
,,,,,,,,41.88324191,-87.62799814
,,,,,,,,41.88333461,-87.62799814
,,,,,,,endGeometryPoint,41.88333461,-87.62781814
,,,,4344,Hit Fixed Object,Medium,begin,41.88540716,-87.6396613
,,,,,,,geometryPointList,41.88511108,-87.6396613
,,,,,,,,41.88511108,-87.63954522
,,,,,,,,41.88501838,-87.63954522
,,,,,,,,41.884815,-87.63954522
,,,,,,,,41.884815,-87.6396613
,,,,,,,,41.8847223,-87.6396613
,,,,,,,,41.8847223,-87.6398413
,,,,,,,,41.88501838,-87.6398413
,,,,,,,,41.88531446,-87.6398413
,,,,,,,,41.88540716,-87.6398413
,,,,,,,endGeometryPoint,41.88540716,-87.6396613
,,,,4349,Hit Fixed Object,Medium,begin,41.89369737,-87.63699658
,,,,,,,geometryPointList,41.8934013,-87.63699658
,,,,,,,,41.8934013,-87.63688051
,,,,,,,,41.89330859,-87.63688051
,,,,,,,,41.89330859,-87.63670051
,,,,,,,,41.89310522,-87.63670051
,,,,,,,,41.89310522,-87.63699658
,,,,,,,,41.89280914,-87.63699658
,,,,,,,,41.89280914,-87.63717658
,,,,,,,,41.89301252,-87.63717658
,,,,,,,,41.89301252,-87.63729266
,,,,,,,,41.89310522,-87.63729266
,,,,,,,,41.89310522,-87.63747266
,,,,,,,,41.89330859,-87.63747266
,,,,,,,,41.89330859,-87.63717658
,,,,,,,,41.89360467,-87.63717658
,,,,,,,,41.89369737,-87.63717658
,,,,,,,endGeometryPoint,41.89369737,-87.63699658
,,,,4350,Hit Fixed Object,Low,begin,41.89597331,-87.63403579
,,,,,,,geometryPointList,41.89576993,-87.63403579
,,,,,,,,41.89576993,-87.63391972
,,,,,,,,41.89567723,-87.63391972
,,,,,,,,41.89567723,-87.63373972
,,,,,,,,41.89547385,-87.63373972
,,,,,,,,41.89547385,-87.63403579
,,,,,,,,41.89517777,-87.63403579
,,,,,,,,41.89517777,-87.63421579
,,,,,,,,41.89538115,-87.63421579
,,,,,,,,41.89538115,-87.63433187
,,,,,,,,41.89547385,-87.63433187
,,,,,,,,41.89547385,-87.63451187
,,,,,,,,41.89567723,-87.63451187
,,,,,,,,41.89567723,-87.63421579
,,,,,,,,41.89597331,-87.63421579
,,,,,,,endGeometryPoint,41.89597331,-87.63403579
,,,,3691,Intersection,Medium,begin,41.88116936,-87.63066285
,,,,,,,geometryPointList,41.88087328,-87.63066285
,,,,,,,,41.88087328,-87.63036677
,,,,,,,,41.8806699,-87.63036677
,,,,,,,,41.8806699,-87.63063285
,,,,,,,,41.8805772,-87.63063285
,,,,,,,,41.8805772,-87.63066285
,,,,,,,,41.88037382,-87.63066285
,,,,,,,,41.88037382,-87.63092893
,,,,,,,,41.8806699,-87.63092893
,,,,,,,,41.8806699,-87.631225
,,,,,,,,41.88087328,-87.631225
,,,,,,,,41.88087328,-87.63095893
,,,,,,,,41.88096598,-87.63095893
,,,,,,,,41.88096598,-87.63092893
,,,,,,,,41.88116936,-87.63092893
,,,,,,,endGeometryPoint,41.88116936,-87.63066285
,,,,4148,Parked,Low,begin,41.88353799,-87.63362364
,,,,,,,geometryPointList,41.88347461,-87.63362364
,,,,,,,,41.88347461,-87.63332756
,,,,,,,,41.88324191,-87.63332756
,,,,,,,,41.88324191,-87.63362364
,,,,,,,,41.88317853,-87.63362364
,,,,,,,,41.88294583,-87.63362364
,,,,,,,,41.88294583,-87.63391972
,,,,,,,,41.88317853,-87.63391972
,,,,,,,,41.88324191,-87.63391972
,,,,,,,,41.88324191,-87.63421579
,,,,,,,,41.88347461,-87.63421579
,,,,,,,,41.88347461,-87.63391972
,,,,,,,,41.88353799,-87.63391972
,,,,,,,,41.88377069,-87.63391972
,,,,,,,,41.88377069,-87.63362364
,,,,,,,endGeometryPoint,41.88353799,-87.63362364
