ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11061569,JA399643,8/20/17 22:00,007XX E 38TH ST,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,212,2,4,36,6,1181586,1879937,2017,8/27/17 15:48,41.82578273,-87.60930724,"(41.825782729, -87.609307244)"
11062295,JA399724,8/21/17 0:05,006XX E 103RD ST,031A,ROBBERY,ARMED: HANDGUN,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,511,5,9,49,3,1182251,1836802,2017,8/28/17 15:54,41.70740059,-87.60820168,"(41.707400588, -87.60820168)"
11062380,JA400565,8/21/17 15:45,0000X E JACKSON BLVD,820,THEFT,$500 AND UNDER,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,113,1,2,32,6,1176637,1899007,2017,8/28/17 15:54,41.87822517,-87.6268882,"(41.878225165, -87.626888203)"
11063870,JA402253,8/22/17 21:00,081XX S EVANS AVE,810,THEFT,OVER $500,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,631,6,6,44,6,1182639,1851291,2017,8/29/17 15:56,41.74715114,-87.60633271,"(41.747151137, -87.606332713)"
11064398,JA402548,8/23/17 6:24,012XX N MAYFIELD AVE,031A,ROBBERY,ARMED: HANDGUN,TAXICAB,FALSE,FALSE,2531,25,29,25,3,1136799,1907629,2017,8/30/17 15:57,41.90269171,-87.77295897,"(41.902691713, -87.772958969)"
11066378,JA405060,8/24/17 21:30,063XX S HALSTED ST,810,THEFT,OVER $500,TAXICAB,FALSE,FALSE,723,7,20,68,6,1172055,1862918,2017,8/31/17 15:54,41.77929591,-87.64477419,"(41.779295906, -87.644774188)"
11067086,JA405738,8/25/17 13:07,0000X W MONROE ST,460,BATTERY,SIMPLE,TAXICAB,FALSE,FALSE,112,1,42,32,08B,1176195,1899919,2017,9/1/17 15:54,41.88073772,-87.62848361,"(41.880737718, -87.628483607)"
11069322,JA408731,8/27/17 18:00,017XX S PRAIRIE AVE,820,THEFT,$500 AND UNDER,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,132,1,2,33,6,1178357,1891935,2017,9/3/17 15:50,41.85878016,-87.62078837,"(41.858780159, -87.620788371)"
11072680,JA412721,8/30/17 23:08,060XX S WOOD ST,051A,ASSAULT,AGGRAVATED: HANDGUN,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,714,7,15,67,04A,1165382,1864730,2017,9/6/17 15:50,41.78441229,-87.66918683,"(41.784412287, -87.669186829)"
11073662,JA413751,8/31/17 17:42,018XX N STOCKTON DR,560,ASSAULT,SIMPLE,TAXICAB,FALSE,FALSE,1814,18,43,7,08A,1174893,1912583,2017,9/7/17 15:53,41.91551763,-87.63288474,"(41.915517634, -87.63288474)"
11074671,JA414679,8/31/17 11:20,0000X W MONROE ST,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,112,1,42,32,6,1175730,1899903,2017,9/7/17 15:53,41.88070428,-87.63019151,"(41.88070428, -87.630191511)"
11075227,JA415908,9/2/17 11:10,004XX N WABASH AVE,810,THEFT,OVER $500,TAXICAB,FALSE,FALSE,1834,18,42,8,6,1176659,1903432,2017,9/9/17 15:47,41.89036711,-87.62667363,"(41.89036711, -87.626673634)"
11075887,JA416938,9/3/17 8:00,010XX N NORTH BRANCH ST,460,BATTERY,SIMPLE,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,1822,18,32,8,08B,1170115,1907039,2017,9/10/17 15:47,41.90041032,-87.65060067,"(41.90041032, -87.650600669)"
11076665,JA417867,9/3/17 23:35,019XX W MONTROSE AVE,460,BATTERY,SIMPLE,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,1912,19,47,5,08B,1162454,1929230,2017,9/10/17 15:47,41.96146765,-87.6781169,"(41.961467649, -87.678116899)"
11077177,JA417972,9/3/17 20:30,035XX N CLARK ST,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,1924,19,44,6,6,1168675,1923578,2017,9/11/17 15:50,41.94582554,-87.65540956,"(41.945825535, -87.655409564)"
11082871,JA425560,9/10/17 3:15,008XX N MASSASOIT AVE,460,BATTERY,SIMPLE,TAXICAB,FALSE,FALSE,1511,15,29,25,08B,1137875,1905041,2017,9/17/17 15:46,41.89557057,-87.76906909,"(41.895570566, -87.769069093)"
11083510,JA426449,9/10/17 22:25,063XX N LEAVITT ST,320,ROBBERY,STRONGARM - NO WEAPON,TAXICAB,FALSE,FALSE,2413,24,50,2,3,1160502,1941881,2017,9/17/17 15:46,41.99622326,-87.68494145,"(41.996223264, -87.68494145)"
11084120,JA426898,9/11/17 11:10,002XX W ADAMS ST,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,122,1,2,32,6,1174618,1899411,2017,9/18/17 15:51,41.87937913,-87.63428935,"(41.87937913, -87.634289354)"
11087626,JA431306,9/14/17 13:00,005XX S JEFFERSON ST,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,124,1,2,28,6,1172411,1897778,2017,9/21/17 15:52,41.87494711,-87.6424413,"(41.87494711, -87.6424413)"
11090787,JA433889,9/15/17 22:15,002XX W GRAND AVE,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,1831,18,42,8,6,1174539,1903858,2017,9/22/17 15:51,41.89158372,-87.63444644,"(41.891583724, -87.634446444)"
11092801,JA438000,9/18/17 15:45,036XX W 47TH ST,460,BATTERY,SIMPLE,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,821,8,14,57,08B,1152803,1873224,2017,9/25/17 15:57,41.80797843,-87.71508288,"(41.807978431, -87.715082878)"
11092471,JA437690,9/19/17 11:57,003XX W ONTARIO ST,460,BATTERY,SIMPLE,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,1831,18,42,8,08B,1173710,1904419,2017,9/26/17 15:52,41.89314163,-87.63747424,"(41.893141629, -87.63747424)"
11093842,JA439356,9/19/17 14:45,030XX W SUNNYSIDE AVE,820,THEFT,$500 AND UNDER,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,1724,17,33,14,6,1155097,1929746,2017,9/26/17 15:52,41.96303477,-87.70515144,"(41.963034767, -87.705151437)"
11095470,JA441369,9/21/17 20:48,021XX W AUGUSTA BLVD,820,THEFT,$500 AND UNDER,TAXICAB,TRUE,FALSE,1212,12,32,24,6,1161886,1906639,2017,9/28/17 15:48,41.89948842,-87.68083726,"(41.899488416, -87.680837261)"
11095536,JA441491,9/21/17 23:55,0000X E ROOSEVELT RD,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,TAXICAB,FALSE,FALSE,131,1,2,33,04B,1177305,1895087,2017,9/28/17 15:48,41.86745334,-87.62455434,"(41.86745334, -87.62455434)"
11096663,JA442852,9/23/17 0:30,007XX W MADISON ST,460,BATTERY,SIMPLE,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,1232,12,27,28,08B,1171176,1900260,2017,9/30/17 15:47,41.88178508,-87.64690279,"(41.881785079, -87.646902791)"
11097025,JA443472,9/23/17 11:30,001XX S STATE ST,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,112,1,42,32,6,1176400,1899863,2017,9/30/17 15:47,41.88057943,-87.62773256,"(41.880579428, -87.627732563)"
11097336,JA443901,9/23/17 19:15,012XX W HARRISON ST,460,BATTERY,SIMPLE,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,1231,12,2,28,08B,1168312,1897499,2017,9/30/17 15:47,41.87427107,-87.65749911,"(41.874271066, -87.657499107)"
11102608,JA450657,9/25/17 21:00,069XX S ASHLAND AVE,320,ROBBERY,STRONGARM - NO WEAPON,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,735,7,17,67,3,1166880,1858661,2017,10/2/17 15:51,41.76772629,-87.66386778,"(41.767726292, -87.663867778)"
11100890,JA448394,9/27/17 4:32,076XX S PHILLIPS AVE,330,ROBBERY,AGGRAVATED,TAXICAB,FALSE,FALSE,421,4,7,43,3,1193855,1854881,2017,10/4/17 15:57,41.75673499,-87.56511746,"(41.756734991, -87.565117456)"
11101883,JA449658,9/27/17 23:50,076XX S PHILLIPS AVE,031A,ROBBERY,ARMED: HANDGUN,TAXICAB,FALSE,FALSE,421,4,7,43,3,1193857,1854813,2017,10/4/17 15:57,41.75654835,-87.56511235,"(41.756548345, -87.565112352)"
11102340,JA450290,9/28/17 8:59,071XX S WINCHESTER AVE,820,THEFT,$500 AND UNDER,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,735,7,17,67,6,1164592,1857269,2017,10/5/17 15:52,41.76395502,-87.67229356,"(41.763955015, -87.672293555)"
11103427,JA450565,9/28/17 16:05,016XX S AVERS AVE,460,BATTERY,SIMPLE,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,1014,10,24,29,08B,1151008,1891566,2017,10/5/17 15:52,41.85834654,-87.72118715,"(41.858346536, -87.721187148)"
11108278,JA457657,10/4/17 8:47,007XX W BUENA AVE,560,ASSAULT,SIMPLE,TAXICAB,FALSE,FALSE,1915,19,46,3,08A,1170651,1928215,2017,10/11/17 15:51,41.95850651,-87.64801024,"(41.958506508, -87.648010237)"
11109349,JA458991,10/5/17 5:30,0000X W 79TH ST,820,THEFT,$500 AND UNDER,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,623,6,17,44,6,1177226,1852623,2017,10/12/17 15:49,41.75093009,-87.62612717,"(41.750930093, -87.626127171)"
11110522,JA460402,10/5/17 16:30,087XX S ABERDEEN ST,460,BATTERY,SIMPLE,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,2222,22,21,71,08B,1170513,1846788,2017,10/12/17 15:49,41.73506684,-87.65089641,"(41.735066839, -87.650896405)"
11110870,JA460813,10/5/17 0:00,047XX S LAKE PARK AVE,820,THEFT,$500 AND UNDER,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,222,2,4,39,6,1186374,1873958,2017,10/12/17 15:49,41.80926389,-87.59193073,"(41.809263893, -87.59193073)"
11110163,JA460132,10/6/17 0:05,118XX S WESTERN AVE,810,THEFT,OVER $500,TAXICAB,FALSE,FALSE,2212,22,19,75,6,1162526,1826017,2017,10/13/17 15:47,41.67823774,-87.68073427,"(41.678237739, -87.68073427)"
11111240,JA461523,10/6/17 23:20,030XX W MONTROSE AVE,820,THEFT,$500 AND UNDER,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,1724,17,33,14,6,1155506,1929087,2017,10/13/17 15:47,41.96121819,-87.70366549,"(41.961218193, -87.703665491)"
11113473,JA464583,10/8/17 4:00,015XX N KINGSBURY ST,560,ASSAULT,SIMPLE,TAXICAB,FALSE,FALSE,1822,18,32,8,08A,1169525,1910220,2017,10/15/17 15:46,41.90915204,-87.65267504,"(41.909152038, -87.652675042)"
11118620,JA470999,9/1/17 20:30,011XX W ROOSEVELT RD,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,1232,12,2,28,6,,,2017,10/15/17 15:46,,,
11112908,JA463940,10/9/17 1:05,055XX W LEXINGTON ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,HIGHWAY/EXPRESSWAY,FALSE,FALSE,1522,15,29,25,15,1139902,1895804,2017,10/16/17 15:50,41.87018624,-87.7618502,"(41.870186236, -87.761850199)"
11113315,JA464374,10/9/17 11:55,010XX W FULLERTON AVE,460,BATTERY,SIMPLE,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,1811,18,32,7,08B,1168812,1916117,2017,10/16/17 15:50,41.92534923,-87.65512295,"(41.925349229, -87.655122952)"
11115262,JA466933,10/9/17 20:00,031XX S MICHIGAN AVE,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,211,2,3,35,6,1177701,1884240,2017,10/16/17 15:50,41.83767946,-87.62342979,"(41.837679455, -87.623429789)"
11116370,JA468421,10/10/17 17:00,002XX N MICHIGAN AVE,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,114,1,42,32,6,1177254,1902044,2017,10/17/17 15:53,41.8865449,-87.62453065,"(41.8865449, -87.624530646)"
11114987,JA466669,10/11/17 3:30,037XX N BROADWAY,291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,TAXICAB,FALSE,FALSE,1925,19,46,6,2,1170406,1925185,2017,10/18/17 15:48,41.95019746,-87.64899989,"(41.950197458, -87.648999894)"
11115857,JA467857,10/11/17 16:00,014XX S ASHLAND AVE,820,THEFT,$500 AND UNDER,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,1233,12,2,28,6,1165959,1893057,2017,10/18/17 15:48,41.86213236,-87.66626496,"(41.862132355, -87.666264958)"
11117319,JA469459,10/12/17 14:00,011XX N CLARK ST,810,THEFT,OVER $500,TAXICAB,FALSE,FALSE,1824,18,42,8,6,1175338,1907721,2017,10/19/17 15:57,41.9021661,-87.63139605,"(41.902166099, -87.631396045)"